Title,Audience-Score,Critic-Score,Revenue,Release-Date,Year,Film-Rating,Director,Genre,Runtime,month,season,Decade
"DuckTales, the Movie: Treasure of the Lost Lamp",69,66,18100000,1990-08-03,1990.0,G,Gaëtan Brizzi,"['Kids & Family', 'Comedy', 'Adventure', 'Fantasy', 'Animation']",73,8.0,Summer,1990.0
The Rescuers Down Under,68,85,,1990-11-16,1990.0,G,Hendel Butoy,"['Kids & Family', 'Adventure', 'Animation']",74,11.0,Fall,1990.0
White Fang,25,,,,,PG,Lucio Fulci,"['Adventure', 'Western']",97,,,
Shipwrecked,68,,14900000,,,TV-PG,Nils Gaup,"['Kids & Family', 'Adventure']",91,,,
Wild Hearts Can't Be Broken,89,73,7300000,1991-05-12,1991.0,G,Steve Miner,"['Kids & Family', 'Drama']",88,5.0,Spring,1990.0
The Rocketeer,,,,,,,Richard Raaphorst,['Drama'],30,,,
Beauty and the Beast,90,96,138200,1947-01-01,1947.0,,Jean Cocteau,['Fantasy'],95,1.0,Winter,1940.0
Newsies,88,39,2700000,1992-04-10,1992.0,PG,Kenny Ortega,"['Kids & Family', 'Musical', 'Drama']",121,4.0,Spring,1990.0
"Honey, I Blew Up the Kid",24,38,58700000,1992-07-17,1992.0,PG,Randal Kleiser,"['Kids & Family', 'Comedy']",89,7.0,Summer,1990.0
The Mighty Ducks,65,27,50700000,1992-10-02,1992.0,PG,Stephen Herek,"['Kids & Family', 'Comedy']",101,10.0,Fall,1990.0
Aladdin,94,57,355600000,2019-05-24,2019.0,PG,Guy Ritchie,"['Kids & Family', 'Musical', 'Comedy', 'Fantasy', 'Adventure', 'Romance']",128,5.0,Spring,2010.0
The Muppet Christmas Carol,86,78,27400000,1992-12-11,1992.0,G,Brian Henson,"['Kids & Family', 'Holiday', 'Fantasy']",85,12.0,Winter,1990.0
Homeward Bound: The Incredible Journey,71,87,41600000,1993-02-03,1993.0,G,Duwayne Dunham,"['Kids & Family', 'Adventure']",84,2.0,Winter,1990.0
A Far Off Place,69,42,12900000,1993-03-12,1993.0,PG,Mikael Salomon,"['Kids & Family', 'Adventure']",105,3.0,Spring,1990.0
The Adventures of Huck Finn,50,75,23800000,1993-04-02,1993.0,PG,Stephen Sommers,"['Kids & Family', 'Comedy', 'Drama']",108,4.0,Spring,1990.0
Hocus Pocus,72,42,1700000,1993-07-16,1993.0,PG,Kenny Ortega,"['Kids & Family', 'Holiday', 'Comedy', 'Fantasy']",95,7.0,Summer,1990.0
Cool Runnings: The Reggae Movie,43,,,,,,Robert Mugge,['Documentary'],105,,,
The Three Musketeers,,,,1992-06-01,1992.0,,,"['Kids & Family', 'Adventure', 'Romance', 'Animation']",50,6.0,Summer,1990.0
Iron Will,66,67,20600000,,,PG,Charlie Haid,['Adventure'],108,,,
Blank Check,35,9,30600000,1994-02-11,1994.0,PG,Rupert Wainwright,"['Kids & Family', 'Comedy']",93,2.0,Winter,1990.0
D2: The Mighty Ducks,59,20,45600000,,,PG,Sam Weisman,"['Kids & Family', 'Comedy']",106,,,
White Fang 2: Myth of the White Wolf,46,71,8700000,1994-04-15,1994.0,PG,Ken Olin,"['Kids & Family', 'Adventure']",106,4.0,Spring,1990.0
The Lion King,93,92,95600000,1994-06-24,1994.0,G,Roger Allers,"['Kids & Family', 'Musical', 'Adventure', 'Animation']",88,6.0,Summer,1990.0
Angels in the Outfield,50,31,50200000,1994-07-10,1994.0,PG,William Dear,"['Kids & Family', 'Comedy']",102,7.0,Summer,1990.0
Squanto: A Warrior's Tale,55,60,3300000,,,PG,Xavier Koller,"['Adventure', 'Action', 'Drama']",101,,,
The Santa Clause,66,73,145500000,1994-11-11,1994.0,PG,John Pasquin,"['Kids & Family', 'Holiday', 'Comedy']",97,11.0,Fall,1990.0
Rudyard Kipling's The Jungle Book,56,80,43200000,,,PG,Stephen Sommers,"['Kids & Family', 'Adventure', 'Romance']",110,,,
Heavyweights,77,50,17700000,1995-02-17,1995.0,PG,Steven Brill,"['Kids & Family', 'Comedy']",97,2.0,Winter,1990.0
Man of the House,46,9,19100000,2005-02-25,2005.0,PG-13,Stephen Herek,['Comedy'],100,2.0,Winter,2000.0
Tall Tale: The Unbelievable Adventures of Pecos Bill,53,48,8200000,1995-03-24,1995.0,PG,Jeremiah S. Chechik,"['Kids & Family', 'Fantasy']",96,3.0,Spring,1990.0
A Goofy Movie,71,64,35300000,1995-04-07,1995.0,G,Kevin Lima,"['Kids & Family', 'Comedy', 'Animation']",78,4.0,Spring,1990.0
Pocahontas,64,58,141600000,1995-06-15,1995.0,G,Mike Gabriel,"['Kids & Family', 'Adventure', 'Animation']",87,6.0,Summer,1990.0
Operation Dumbo Drop,29,26,24700000,1995-07-28,1995.0,PG,Simon Wincer,"['Kids & Family', 'Comedy']",107,7.0,Summer,1990.0
A Kid in King Arthur's Court,27,5,13400000,1995-08-11,1995.0,PG,Michael Gottlieb,"['Kids & Family', 'Fantasy']",89,8.0,Summer,1990.0
The Big Green,46,0,17700000,1995-09-29,1995.0,PG,Holly Goldberg Sloan,"['Kids & Family', 'Comedy']",99,9.0,Fall,1990.0
Frank and Ollie,86,88,31800,,,PG,Theodore Thomas,['Documentary'],89,,,
Toy Story,92,100,6700000,1995-11-22,1995.0,G,John Lasseter,"['Kids & Family', 'Comedy', 'Adventure', 'Fantasy', 'Animation']",81,11.0,Fall,1990.0
Tom and Huck,42,25,23900000,1995-12-22,1995.0,PG,Peter Hewitt,"['Kids & Family', 'Adventure']",92,12.0,Winter,1990.0
Muppet Treasure Island,77,71,34300000,1996-02-16,1996.0,G,Brian Henson,"['Kids & Family', 'Adventure']",99,2.0,Winter,1990.0
Homeward Bound II: Lost in San Francisco,44,56,32800000,,,G,David R. Ellis,"['Kids & Family', 'Adventure']",88,,,
James and the Giant Peach,66,91,28900000,1996-04-12,1996.0,PG,Henry Selick,"['Kids & Family', 'Fantasy', 'Animation']",80,4.0,Spring,1990.0
The Hunchback of Notre Dame,71,80,100100000,1996-06-21,1996.0,G,Gary Trousdale,"['Kids & Family', 'Drama', 'Animation']",86,6.0,Summer,1990.0
First Kid,32,21,26500000,1996-08-30,1996.0,PG,David M. Evans,['Comedy'],101,8.0,Summer,1990.0
D3: The Mighty Ducks,45,20,23000000,1996-10-04,1996.0,PG,Robert Lieberman,"['Kids & Family', 'Comedy']",104,10.0,Fall,1990.0
101 Dalmatians,76,98,91300000,,,G,Wolfgang Reitherman,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",79,,,
That Darn Cat,24,13,18300000,1997-02-14,1997.0,PG,Bob Spiers,"['Kids & Family', 'Comedy']",89,2.0,Winter,1990.0
Jungle 2 Jungle,33,20,59900000,1997-03-07,1997.0,PG,John Pasquin,"['Kids & Family', 'Comedy']",105,3.0,Spring,1990.0
"Honey, We Shrunk Ourselves",27,25,,,,PG,Dean Cundy,"['Kids & Family', 'Comedy']",76,,,
Hercules,76,83,99100000,1997-06-14,1997.0,G,Ron Clements,"['Kids & Family', 'Adventure', 'Animation']",92,6.0,Summer,1990.0
George of the Jungle,42,56,105300000,,,PG,Sam Weisman,"['Kids & Family', 'Romance', 'Comedy']",91,,,
Air Bud,38,50,24600000,1997-08-01,1997.0,PG,Charles Martin Smith,"['Kids & Family', 'Comedy', 'Drama']",97,8.0,Summer,1990.0
Pooh's Grand Adventure: The Search for Christopher Robin,71,38,,,,,Karl Geurs,"['Kids & Family', 'Adventure', 'Animation']",70,,,
Rocketman,,,,,,,Toby Brusseau,"['Documentary', 'Adventure', 'Comedy']",85,,,
Flubber,33,24,93000000,1997-11-26,1997.0,PG,Les Mayfield,"['Kids & Family', 'Comedy']",93,11.0,Fall,1990.0
Mr. Magoo,24,9,21400000,,,PG,Stanley Tong,"['Kids & Family', 'Comedy']",87,,,
Meet the Deedles,37,11,4400000,1998-03-27,1998.0,PG,Steve Boyum,"['Kids & Family', 'Comedy']",92,3.0,Spring,1990.0
Mulan,85,91,120600000,1998-06-19,1998.0,G,Barry Cook,"['Kids & Family', 'Musical', 'Animation']",87,6.0,Summer,1990.0
The Jungle Book: Mowgli's Story,31,,,1998-09-29,1998.0,G,Nick Marck,"['Kids & Family', 'Adventure']",79,9.0,Fall,1990.0
I'll Be Home for Christmas,,,,,,,Ella Lemhagen,"['Holiday', 'Drama']",115,,,
A Bug's Life,73,92,162800000,1998-11-14,1998.0,G,John Lasseter,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",96,11.0,Fall,1990.0
Mighty Joe Young,41,55,50600000,1998-12-25,1998.0,PG,Ron Underwood,"['Kids & Family', 'Adventure']",114,12.0,Winter,1990.0
My Favorite Martian,31,13,36800000,1999-02-12,1999.0,PG,Donald Petrie,['Comedy'],93,2.0,Winter,1990.0
Doug's 1st Movie,28,26,19400000,1999-03-19,1999.0,G,Maurice Joyce,"['Kids & Family', 'Comedy', 'Animation']",77,3.0,Spring,1990.0
Endurance,,70,,,,,Elizabeth Chai Vasarhelyi,"['Documentary', 'History']",100,,,
Tarzan,75,90,,1999-06-18,1999.0,G,Chris Buck,"['Kids & Family', 'Musical', 'Drama', 'Adventure', 'Animation']",88,6.0,Summer,1990.0
Inspector Gadget,18,20,97400000,1999-07-23,1999.0,PG,David Kellogg,"['Kids & Family', 'Comedy']",77,7.0,Summer,1990.0
The Straight Story,91,95,6200000,1999-05-21,1999.0,G,David Lynch,['Drama'],111,5.0,Spring,1990.0
Toy Story 2,87,100,245900000,1999-11-24,1999.0,G,Ash Brannon,"['Kids & Family', 'Comedy', 'Adventure', 'Fantasy', 'Animation']",92,11.0,Fall,1990.0
Fantasia 2000,75,80,60500000,2000-01-01,2000.0,G,James Algar,"['Kids & Family', 'Musical', 'Music', 'Animation']",75,1.0,Winter,2000.0
The Tigger Movie,62,64,,2000-02-11,2000.0,G,Jun Falkenstein,"['Kids & Family', 'Adventure', 'Animation']",77,2.0,Winter,2000.0
Whispers: An Elephant's Tale,38,,,2000-10-13,2000.0,G,Dereck Joubert,"['Kids & Family', 'Drama']",72,10.0,Fall,2000.0
Dinosaur,,,,,,PG,Eric Leighton,"['Kids & Family', 'Adventure']",82,,,
Disney's The Kid,49,49,69700000,2000-07-07,2000.0,PG,Jon Turteltaub,"['Kids & Family', 'Comedy']",104,7.0,Summer,2000.0
Buzz Lightyear of Star Command: The Adventure Begins,52,,,,,,Tad Stones,"['Kids & Family', 'Adventure', 'Animation']",70,,,
The Little Mermaid II: Return to the Sea,45,20,,,,G,Jim Kammerud,"['Kids & Family', 'Fantasy', 'Animation']",75,,,
Remember the Titans,93,72,115800000,2000-09-29,2000.0,PG,Boaz Yakin,['Drama'],113,9.0,Fall,2000.0
102 Dalmatians,32,30,66900000,2000-11-22,2000.0,G,Kevin Lima,"['Kids & Family', 'Adventure']",100,11.0,Fall,2000.0
The Emperor's New Groove,84,86,89600000,2000-12-15,2000.0,G,Mark Dindal,"['Kids & Family', 'Comedy', 'Animation']",79,12.0,Winter,2000.0
Recess: School's Out,56,60,36700000,2001-02-16,2001.0,G,Chuck Sheetz,"['Kids & Family', 'Comedy', 'Animation']",82,2.0,Winter,2000.0
Lady and the Tramp II: Scamp's Adventure,49,45,,,,G,Darrell Rooney,"['Kids & Family', 'Adventure', 'Animation']",69,,,
Atlantis: The Lost Empire,55,48,,2001-06-15,2001.0,PG,Gary Trousdale,"['Kids & Family', 'Fantasy', 'Sci-Fi', 'Action', 'Adventure', 'Animation']",95,6.0,Summer,2000.0
The Princess Diaries,68,49,108200000,2001-08-03,2001.0,G,Garry Marshall,"['Kids & Family', 'Comedy']",115,8.0,Summer,2000.0
Max Keeble's Big Move,38,27,17300000,2001-10-05,2001.0,PG,Tim Hill,"['Kids & Family', 'Comedy']",86,10.0,Fall,2000.0
"Monsters, Inc.",90,96,494000,2001-11-02,2001.0,G,Pete Docter,"['Kids & Family', 'Comedy', 'Fantasy', 'Adventure', 'Animation']",92,11.0,Fall,2000.0
Mickey's Magical Christmas: Snowed In at the House of Mouse,62,,,,,TV-G,Tony Craig,"['Kids & Family', 'Holiday', 'Adventure', 'Comedy', 'Animation']",62,,,
Snow Dogs,40,26,81200000,2002-01-18,2002.0,PG,Brian Levant,"['Kids & Family', 'Comedy', 'Adventure']",99,1.0,Winter,2000.0
Return to Never Land,39,46,48400000,2002-02-15,2002.0,G,Robin Budd,"['Kids & Family', 'Fantasy', 'Adventure', 'Animation']",72,2.0,Winter,2000.0
Cinderella II: Dreams Come True,32,13,,2002-02-26,2002.0,G,John Kafka,"['Kids & Family', 'Fantasy', 'Animation']",73,2.0,Winter,2000.0
The Hunchback of Notre Dame II,27,22,,,,G,Bradley Raymond,"['Kids & Family', 'Adventure', 'Animation']",68,,,
The Rookie,70,84,,2002-03-29,2002.0,G,John Lee Hancock,['Drama'],127,3.0,Spring,2000.0
Lilo & Stitch,78,86,,2002-06-21,2002.0,PG,Dean DeBlois,"['Kids & Family', 'Comedy', 'Animation']",85,6.0,Summer,2000.0
The Country Bears,34,29,17000000,2002-07-26,2002.0,G,Peter Hastings,"['Kids & Family', 'Comedy']",88,7.0,Summer,2000.0
Spirited Away,96,96,10000000,2002-09-20,2002.0,PG,Hayao Miyazaki,"['Fantasy', 'Adventure', 'Animation']",125,9.0,Fall,2000.0
Tuck Everlasting,70,61,19200000,2002-10-11,2002.0,PG,Jay Russell,"['Kids & Family', 'Fantasy', 'Adventure', 'Drama']",90,10.0,Fall,2000.0
The Santa Clause 2,43,56,139200000,2002-11-01,2002.0,G,Michael Lembeck,"['Kids & Family', 'Holiday', 'Comedy']",104,11.0,Fall,2000.0
Winnie the Pooh: A Very Merry Pooh Year,71,,,,,G,Jamie Mitchell,"['Kids & Family', 'Holiday', 'Fantasy', 'Animation']",65,,,
Treasure Planet,73,68,,2002-11-27,2002.0,PG,John Musker,"['Kids & Family', 'Adventure', 'Sci-Fi', 'Animation']",95,11.0,Fall,2000.0
101 Dalmatians II: Patch's London Adventure,41,67,,,,G,Jim Kammerud,"['Kids & Family', 'Adventure', 'Animation']",73,,,
The Jungle Book,,,,,,,Meghan Counts,"['Adventure', 'Drama']",87,,,
Inspector Gadget 2,23,40,,,,G,Alex Zamm,"['Kids & Family', 'Comedy']",88,,,
